location_id,region,country,population,density
101,Northland,New Zealand,201500,16.1
102,Auckland,New Zealand,1695200,343.1
103,Waikato,New Zealand,513800,21.5
104,Bay of Plenty,New Zealand,347700,28.8
105,Gisborne,New Zealand,52100,6.2
106,Hawke's Bay,New Zealand,182700,12.9
107,Taranaki,New Zealand,127300,17.6
108,Manawatū-Whanganui,New Zealand,258200,11.6
109,Wellington,New Zealand,543500,67.5
110,Tasman,New Zealand,58700,6.1
111,Nelson,New Zealand,54500,129.2
112,Marlborough,New Zealand,51900,4.9
113,West Coast,New Zealand,32700,1.4
114,Canterbury,New Zealand,655000,14.7
115,Otago,New Zealand,246000,7.9
116,Southland,New Zealand,102400,3.3
