vehicle_id,vehicle_type,make_id,model_year,color,date_stolen,location_id,age
1,Trailer,623,2021,Silver,2021-11-05,102,0
2,Boat Trailer,623,2021,Silver,2021-12-13,105,0
3,Boat Trailer,623,2021,Silver,2022-02-13,102,1
4,Trailer,623,2021,Silver,2021-11-13,106,0
5,Trailer,623,2018,Silver,2022-01-10,102,4
6,Roadbike,636,2005,Black,2021-12-31,102,16
7,Trailer,623,2021,Silver,2021-11-12,114,0
8,Boat Trailer,623,2001,Silver,2022-02-22,109,21
9,Trailer,514,2021,Silver,2022-02-25,115,1
10,Trailer,514,2020,Silver,2022-01-03,114,2
11,Trailer,623,2018,Silver,2021-10-15,108,3
12,Trailer,538,2018,Silver,2022-02-28,102,4
13,Moped,629,2004,Black,2021-12-19,102,17
14,Moped,550,2007,Blue,2022-01-23,102,15
15,Roadbike,611,2007,Black,2022-02-28,101,15
16,Trailer,623,2021,Silver,2022-02-08,109,1
17,Trailer,623,2021,Silver,2021-10-10,102,0
18,Boat Trailer,623,2004,White,2021-10-07,104,17
19,Trailer,623,2014,White,2022-02-24,104,8
20,Boat Trailer,623,2018,Silver,2021-11-08,114,3
21,Roadbike,625,2002,Silver,2022-02-11,101,20
22,Trailer,538,2000,Silver,2021-11-22,104,21
23,Trailer,623,2015,Silver,2022-01-27,114,7
24,Trailer - Heavy,623,2021,Silver,2021-11-12,102,0
25,Trailer,623,2018,Silver,2021-10-08,106,3
26,Trailer,623,2017,Silver,2022-03-04,108,5
27,Trailer,623,2018,Silver,2022-02-27,103,4
28,Trailer,623,2018,Silver,2022-02-01,109,4
29,Trailer,623,2018,Silver,2021-11-01,104,3
30,Trailer,623,2018,Silver,2021-12-21,102,3
31,Trailer,623,2018,Grey,2022-01-03,102,4
32,Trailer,549,1998,Green,2021-10-21,114,23
33,Boat Trailer,623,2017,Grey,2022-02-15,104,5
34,Trailer,623,2021,Silver,2022-01-05,102,1
35,Trailer,514,2021,Silver,2022-04-05,114,1
36,Trailer,623,2018,Grey,2022-02-17,103,4
37,Trailer,623,2018,Silver,2022-02-23,102,4
38,Trailer,623,2018,Silver,2022-01-17,109,4
39,Trailer - Heavy,623,2021,Silver,2021-12-03,104,0
40,Trailer,549,2021,Black,2021-12-27,109,0
41,Trailer,623,2021,Silver,2022-03-02,106,1
42,Trailer,623,2002,Silver,2022-01-02,102,20
43,Boat Trailer,623,2018,Silver,2022-02-24,102,4
44,Trailer,549,2018,Silver,2022-02-28,114,4
45,Trailer,623,2014,Silver,2021-10-19,104,7
46,Moped,538,2005,Silver,2021-11-09,106,16
47,Trailer - Heavy,623,2004,Grey,2021-11-05,102,17
48,Trailer,527,2021,Silver,2022-03-02,102,1
49,Trailer,623,2021,Grey,2021-10-22,102,0
50,Trailer,623,2021,Silver,2022-01-20,114,1
51,Trailer,514,2021,Silver,2021-12-07,102,0
52,Caravan,537,2003,White,2021-10-13,114,18
53,Roadbike,636,1995,Blue,2022-03-21,111,27
54,Roadbike,561,1999,Green,2022-02-15,104,23
55,Trailer - Heavy,623,2021,Silver,2022-02-06,104,1
56,Trailer - Heavy,623,2000,Yellow,2022-03-05,102,22
57,Boat Trailer,623,2021,Silver,2022-02-21,102,1
58,Trailer,623,1997,Yellow,2021-11-05,105,24
59,Trailer,623,2021,Black,2022-03-06,102,1
60,Trailer,623,1983,Red,2022-01-02,108,39
61,Trailer,623,2021,Silver,2022-03-26,102,1
62,Trailer,623,2018,Silver,2021-10-10,102,3
63,Moped,550,2008,Yellow,2021-12-19,104,13
64,Trailer,623,2018,Black,2022-01-06,104,4
65,Trailer,623,2014,Silver,2022-03-24,104,8
66,Boat Trailer,623,2014,Silver,2021-10-21,105,7
67,Hatchback,540,2006,Blue,2021-11-13,105,15
68,Trailer - Heavy,623,2014,Silver,2021-11-08,105,7
69,Trailer,623,2014,Silver,2022-01-24,114,8
70,Boat Trailer,551,2014,Silver,2022-04-04,103,8
71,Trailer,623,2014,Silver,2022-02-24,107,8
72,Trailer,623,2014,Silver,2022-02-04,102,8
73,Trailer,623,2014,Silver,2022-01-14,114,8
74,Caravan,591,1969,White,2021-11-27,104,52
75,Saloon,512,2007,White,2022-03-23,102,15
76,Trailer,623,2015,Silver,2022-01-05,102,7
77,Trailer,623,2011,Grey,2022-04-02,102,11
78,Boat Trailer,623,2015,Silver,2022-01-06,104,7
79,Trailer,623,2015,Silver,2022-02-28,106,7
80,Trailer,623,2015,Silver,2022-01-14,114,7
81,Trailer,623,2015,Silver,2021-10-18,102,6
82,Trailer,623,2015,Silver,2022-03-16,103,7
83,Trailer - Heavy,623,1998,White,2022-01-18,104,24
84,Stationwagon,507,2015,Silver,2022-04-03,109,7
85,Trailer,623,2015,Silver,2022-01-04,114,7
86,Roadbike,629,2001,Silver,2021-12-06,102,20
87,Trailer,623,2015,Silver,2022-01-19,114,7
88,Trailer,623,1984,Yellow,2022-03-21,102,38
89,Trailer,623,2015,Silver,2022-03-01,103,7
90,Boat Trailer,623,2008,Silver,2022-02-22,104,14
91,Trailer,623,1990,Blue,2022-01-20,104,32
92,Trailer,623,2000,Silver,2022-03-08,104,22
93,Trailer,549,1996,Silver,2022-03-24,102,26
94,Trailer,623,2018,Silver,2022-03-18,102,4
95,Trailer,616,2018,Silver,2021-12-28,102,3
96,Trailer,527,1985,Silver,2022-01-13,102,37
97,Roadbike,550,2005,Red,2022-03-19,102,17
98,Roadbike,550,2000,Blue,2022-01-31,114,22
99,Trailer,623,2022,Black,2022-02-14,102,0
100,Boat Trailer,623,2021,Grey,2021-12-30,103,0
101,Trailer,623,2000,Silver,2022-01-29,106,22
102,Trailer,549,2022,Black,2022-03-12,104,0
103,Trailer,623,1998,White,2022-03-28,102,24
104,Trailer,623,2018,Silver,2021-11-22,104,3
105,Trailer,623,1977,Brown,2021-12-03,104,44
106,Trailer - Heavy,623,2018,Silver,2022-02-01,106,4
107,Trailer,623,1980,Blue,2022-03-20,111,42
108,Trailer - Heavy,623,2018,White,2022-04-03,114,4
109,Trailer,623,2022,Silver,2022-02-09,102,0
110,Trailer,623,2019,Grey,2022-02-23,109,3
111,Trailer,623,2022,Silver,2022-03-15,106,0
112,Roadbike,545,2004,Red,2022-01-16,102,18
113,Trailer,623,1967,Grey,2021-10-19,114,54
114,Caravan,519,2006,White,2022-02-27,102,16
115,Trailer,623,2018,Silver,2022-03-29,114,4
116,Tractor,575,2007,Red,2022-01-23,103,15
117,Trailer,623,2022,Silver,2022-03-15,109,0
118,Roadbike,611,2003,Black,2021-12-03,101,18
119,Boat Trailer,626,2022,Black,2022-03-19,102,0
120,Trailer,623,2022,Silver,2022-03-04,102,0
121,Boat Trailer,549,1989,Grey,2021-10-12,114,32
122,Boat Trailer,623,2017,Silver,2022-03-19,105,5
123,Trailer,623,2019,Silver,2022-02-28,108,3
124,Roadbike,561,2008,Red,2022-04-02,102,14
125,Moped,585,2008,Red,2022-01-29,102,14
126,Trailer,623,1996,Grey,2022-03-13,114,26
127,Boat Trailer,623,2000,Silver,2022-02-03,102,22
128,Boat Trailer,549,1994,White,2022-01-01,114,28
129,Trailer,623,1998,Grey,2021-11-16,111,23
130,Trailer,623,2019,Grey,2022-01-20,101,3
131,Roadbike,565,2002,Orange,2022-02-13,101,20
132,Trailer,623,2019,Silver,2022-03-13,104,3
133,Trailer,623,2022,Silver,2022-04-01,108,0
134,Trailer,623,2019,Silver,2021-12-17,104,2
135,Trailer,623,1980,Grey,2021-12-31,103,41
136,Trailer,623,2019,Silver,2022-03-13,115,3
137,Trailer,616,2019,Silver,2021-10-29,102,2
138,Trailer,623,1962,Green,2022-02-16,114,60
139,Trailer,623,1997,White,2021-11-16,107,24
140,Trailer,514,2018,Silver,2022-03-18,114,4
141,Trailer,538,2019,Silver,2021-12-30,109,2
142,Trailer,623,2019,Silver,2021-10-10,111,2
143,Boat Trailer,623,2019,Silver,2021-12-14,109,2
144,Trailer,595,2019,Silver,2021-10-19,102,2
145,Trailer,623,2019,Silver,2022-02-28,114,3
146,Trailer - Heavy,623,2019,Silver,2021-12-27,105,2
147,Trailer,623,2019,Grey,2022-03-09,102,3
148,Trailer,538,2015,Silver,2022-03-21,101,7
149,Trailer - Heavy,514,2015,Silver,2021-12-08,102,6
150,Caravan,519,2008,White,2021-12-26,104,13
151,Trailer,595,2015,Silver,2022-02-18,103,7
152,Trailer,623,2015,Silver,2021-11-12,105,6
153,Trailer,623,2015,Silver,2021-11-22,104,6
154,Trailer - Heavy,514,2015,Silver,2022-01-24,102,7
155,Trailer - Heavy,514,2015,Silver,2022-03-08,102,7
156,Trailer - Heavy,514,2015,Silver,2022-01-06,114,7
157,Trailer,623,2015,Silver,2022-02-19,114,7
158,Caravan,606,2007,White,2022-01-29,109,15
159,Trailer,623,2015,Silver,2022-01-10,106,7
160,Saloon,587,1989,Blue,2022-02-03,109,33
161,Boat Trailer,623,2015,Silver,2021-11-10,114,6
162,Trailer - Heavy,514,2015,Silver,2021-10-12,109,6
163,Trailer,623,2015,Silver,2021-10-30,101,6
164,Trailer,623,2015,Silver,2022-01-13,109,7
165,Trailer - Heavy,514,2015,Silver,2021-12-31,103,6
166,Trailer - Heavy,514,2015,Silver,2021-12-08,102,6
167,Caravan,525,1972,Red,2022-03-16,104,50
168,Trailer - Heavy,623,2015,White,2022-03-08,107,7
169,Trailer,623,2015,Silver,2022-01-28,103,7
170,Trail Bike,565,2020,Orange,2021-11-08,114,1
171,Trailer,623,2016,Silver,2022-03-30,114,6
172,Trailer,623,2019,Silver,2022-03-24,115,3
173,Trailer,623,1998,Silver,2021-12-25,107,23
174,Boat Trailer,623,2012,Silver,2021-12-22,102,9
175,Trailer - Heavy,623,2019,Silver,2021-10-11,102,2
176,Trailer,562,2019,Silver,2022-04-01,104,3
177,Trailer,562,2019,Silver,2022-03-29,103,3
178,Boat Trailer,623,2019,Silver,2022-02-12,102,3
179,Trailer - Heavy,562,2019,Silver,2021-11-24,103,2
180,Moped,629,1963,Cream,2021-12-07,115,58
181,Trailer,514,2019,Silver,2021-11-02,114,2
182,Trailer,623,2019,Silver,2021-11-22,104,2
183,Roadbike,611,2005,Yellow,2021-10-12,114,16
184,Trailer,599,2019,Grey,2021-10-28,101,2
185,Trailer,549,1990,Blue,2022-03-19,109,32
186,Trailer,623,1981,Grey,2022-02-16,102,41
187,Trailer,623,2019,Silver,2022-02-04,106,3
188,Boat Trailer,513,2019,Silver,2021-12-16,102,2
189,Trailer,623,2019,Silver,2022-03-07,114,3
190,Trailer,623,1996,White,2021-10-31,114,25
191,Trailer,623,2019,Silver,2022-01-19,106,3
192,Trailer,562,2019,Silver,2022-04-02,103,3
193,Trailer,623,2019,Silver,2021-11-01,102,2
194,Caravan,623,2006,White,2021-12-07,102,15
196,Trailer,623,1979,Green,2021-12-02,114,42
197,Trailer - Heavy,623,2019,Silver,2022-03-13,111,3
198,Trailer,623,1999,Silver,2022-02-02,102,23
199,Trailer,623,1998,Silver,2022-02-19,106,24
200,Trailer,623,2001,Grey,2021-10-14,115,20
201,Trailer - Heavy,623,2019,Silver,2022-01-07,101,3
202,Trailer,623,1977,Orange,2021-10-25,104,44
203,Roadbike,625,2004,Red,2022-02-10,108,18
204,Trailer,623,2019,Grey,2021-11-29,106,2
205,Trailer,623,2019,Grey,2021-12-15,114,2
206,Roadbike,611,2005,Black,2022-04-02,102,17
207,Roadbike,550,1985,White,2022-03-27,109,37
208,Trailer,623,2019,Grey,2022-02-14,111,3
209,Trailer,623,2019,Silver,2022-03-17,107,3
210,Trailer,623,2015,Silver,2021-10-12,102,6
211,Trailer,623,2015,Silver,2021-11-01,102,6
212,Trailer,623,2016,Grey,2022-03-01,109,6
213,Caravan,504,1976,White,2021-12-01,102,45
214,Trailer - Heavy,597,2015,Silver,2021-10-11,102,6
215,Trailer,572,2015,Silver,2022-04-03,115,7
216,Trailer,514,2008,Silver,2022-02-10,102,14
217,Trailer - Heavy,623,1985,Blue,2022-02-22,103,37
218,Trailer,616,2015,Silver,2021-12-23,102,6
219,Trailer,623,2002,Grey,2022-01-31,114,20
220,Trailer,623,2016,Silver,2021-11-22,101,5
221,Boat Trailer,623,2000,Black,2021-12-25,103,21
222,Trailer,623,2016,Silver,2022-04-04,106,6
223,Trailer - Heavy,623,2016,White,2022-01-17,104,6
224,Trailer,572,2016,Silver,2022-02-27,115,6
225,Trailer,623,2019,Silver,2022-01-26,108,3
226,Trailer,623,2019,Silver,2022-01-25,114,3
227,Roadbike,611,2007,Grey,2021-12-18,102,14
228,Trailer,549,1990,Grey,2022-02-10,114,32
229,Caravan,525,1979,Blue,2022-01-28,108,43
230,Trailer - Heavy,623,1976,Silver,2022-01-22,108,46
231,Trailer,549,1987,Red,2022-03-05,115,35
232,Trailer,616,2019,Silver,2022-03-03,102,3
233,Trailer,623,2019,Silver,2021-12-06,108,2
234,Moped,594,1998,Blue,2021-11-06,102,23
235,Roadbike,611,2003,Silver,2021-12-30,104,18
